Unnamed: 0,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
10012,"AILTINO Handicraft Beautiful Bling Box Clutch Bag Purse For Bridal, Casual, Wedding",accessories,Bags & Luggage,https://m.media-amazon.com/images/I/91z7MqzpQQL._AC_UL320_.jpg,https://www.amazon.in/Handicraft-Beautiful-Box-Clutch-Set/dp/B0B43VSHDL/ref=sr_1_10021?qid=1679144225&s=luggage&sr=1-10021,4.5,15,₹589,"₹2,999"
403,"Unicorn Toddler Tote Bag, Colorful Plush Princess Cute Unicorn Crossbody Handbags Best Gift for Girls 1-6 Years",accessories,Bags & Luggage,https://m.media-amazon.com/images/I/61szA88w2gL._AC_UL320_.jpg,https://www.amazon.in/Unicorn-Colorful-Princess-Crossbody-Handbags/dp/B09NDB55NL/ref=sr_1_412?qid=1679143900&s=luggage&sr=1-412,4.2,27,₹390,₹999
8198,"AirCase Premium Canvas Backpack fits Upto 15.6"" Laptop, Lightweight & Easy to Clean, Spacious Bag for Office/ Travel/ Coll...",accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81zjk7hs5LL._AC_UL320_.jpg,https://www.amazon.in/AirCase-Backpack-Lightweight-Spacious-Warranty/dp/B0B2PCCXMN/ref=sr_1_8207?qid=1679144166&s=luggage&sr=1-8207,4.7,4,,₹999
4320,Aristrocrat COSMIC 26L Polyester Blue Backpack,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/81C402ulcQL._AC_UL320_.jpg,https://www.amazon.in/Aristrocrat-COSMIC-Polyester-Blue-Backpack/dp/B0B6SLP1X7/ref=sr_1_4325?qid=1679144032&s=luggage&sr=1-4325,,,₹764.46,"₹2,290"
1657,"NUFA Geometric Women's Sling Bag | Sling Chain Bag | Stylish, Latest & Trendy bags for School, College and Office",accessories,Bags & Luggage,https://m.media-amazon.com/images/I/71XD+kKSomL._AC_UL320_.jpg,https://www.amazon.in/NUFA-Luminous-Womens-Multicolor-Reflective/dp/B09GH4PQG2/ref=sr_1_1666?qid=1679143943&s=luggage&sr=1-1666,4.2,352,₹999,"₹2,499"
485,Lavie Women's Horse Bag | Ladies Purse Handbag,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81fKsqCVXmL._AC_UL320_.jpg,https://www.amazon.in/Lavie-Horse-Womens-Handbag-Brown/dp/B078XZ95LR/ref=sr_1_490?qid=1679143904&s=luggage&sr=1-490,4.1,"5,865","₹1,356","₹4,499"
19142,American Tourister Kansas Polyester 69 cms Black Softsided Check-in Luggage (FT2 (0) 09 002),accessories,Bags & Luggage,https://m.media-amazon.com/images/I/61DTwkh3CnL._AC_UL320_.jpg,https://www.amazon.in/American-Tourister-FT2-09-002/dp/B07Z7ZMLNQ/ref=sr_1_19199?qid=1679144526&s=luggage&sr=1-19199,3.8,17,"₹4,499","₹8,500"
18730,AUXTER Motivator Grey 25 liters Gym Bag Sports kit Bag Duffle Bag Travel Bag Daytrip Bag with Shoe Pocket for Adults Men W...,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/817ACfD8heL._AC_UL320_.jpg,https://www.amazon.in/AUXTER-Motivator-liters-Sports-Daytrip/dp/B0BLHQM16N/ref=sr_1_18783?qid=1679144513&s=luggage&sr=1-18783,4.0,1,₹599,"₹2,199"
7804,TrendyAge Women Pu Leather Wallet Clutch Combo Of 4 (Multicolour) Top Ladies Purse Handbag Clutch,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/71CtEM0RqmL._AC_UL320_.jpg,https://www.amazon.in/B2B-Bags-Stylish-Backpack-Designer/dp/B07FHY9KGT/ref=sr_1_7813?qid=1679144152&s=luggage&sr=1-7813,3.6,108,₹378,₹499
15938,Aaina Creations Pink handicrafts and jewellery Potli Wristlets Ethnic Potli For Women's | Designer Rajasthani Style Royal ...,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/91aBpLUCcCL._AC_UL320_.jpg,https://www.amazon.in/Creations-handicrafts-jewellery-Wristlets-Rajasthani/dp/B09GJLQ3ST/ref=sr_1_15991?qid=1679144422&s=luggage&sr=1-15991,1.0,1,₹299,₹599
